Partition rank	NbSubset	Asap score	p-val	pval-rank	W	W rank	Treshold distance
1	5	1.00	3.138268e-03	1	0.000057	1	0.003086
2	2	2.50	7.844311e-01	3	0.000039	2	0.022457
3	12	3.50	7.784431e-01	2	0.000014	5	0.001003
4	7	3.50	8.363273e-01	4	0.000027	3	0.002009
5	45	4.50	1.000000e+00	5	0.000014	4	0.000000
