mptp 0.2.4_linux_x86_64, 4GB RAM, 2 cores
https://github.com/Pas-Kapli/mptp

Parsing tree file...
Loaded unrooted tree...
Converting to rooted tree...
Selected YK171 as outgroup based on longest tip-branch criterion

MCMC run 0...
Computing initial delimitation...
Null model log-likelihood: 186.983247
219000 Log-L: 258.250437
220000 Log-L: 259.301980
221000 Log-L: 258.250437
222000 Log-L: 253.745497
223000 Log-L: 251.403826
224000 Log-L: 258.250437
225000 Log-L: 258.287584
226000 Log-L: 258.287276
227000 Log-L: 258.253903
228000 Log-L: 253.745497
229000 Log-L: 259.301980
230000 Log-L: 251.403826
231000 Log-L: 258.253903
232000 Log-L: 258.287584
233000 Log-L: 259.301980
234000 Log-L: 258.075984
235000 Log-L: 258.075984
236000 Log-L: 258.075984
237000 Log-L: 253.745497
238000 Log-L: 253.745497
239000 Log-L: 259.301980
240000 Log-L: 258.253903
241000 Log-L: 258.253903
242000 Log-L: 258.318665
243000 Log-L: 258.318665
244000 Log-L: 253.745497
245000 Log-L: 258.287584
246000 Log-L: 258.287276
247000 Log-L: 258.075984
248000 Log-L: 253.745497
249000 Log-L: 258.075984
250000 Log-L: 253.745497
251000 Log-L: 258.253903
252000 Log-L: 258.287584
253000 Log-L: 251.403826
254000 Log-L: 253.745497
255000 Log-L: 251.403826
256000 Log-L: 253.745497
257000 Log-L: 251.403826
258000 Log-L: 251.403826
259000 Log-L: 253.745497
260000 Log-L: 258.287584
261000 Log-L: 258.250437
262000 Log-L: 253.745497
263000 Log-L: 258.250437
264000 Log-L: 253.745497
265000 Log-L: 258.287584
266000 Log-L: 258.253903
267000 Log-L: 251.403826
268000 Log-L: 259.301980
269000 Log-L: 253.745497
270000 Log-L: 253.745497
271000 Log-L: 258.253903
272000 Log-L: 251.403826
273000 Log-L: 258.287276
274000 Log-L: 259.301980
275000 Log-L: 251.403826
276000 Log-L: 253.745497
277000 Log-L: 251.403826
278000 Log-L: 251.403826
279000 Log-L: 258.318665
280000 Log-L: 258.287584
281000 Log-L: 258.250437
282000 Log-L: 253.745497
283000 Log-L: 253.745497
284000 Log-L: 258.318665
285000 Log-L: 258.253903
286000 Log-L: 258.075984
287000 Log-L: 259.301980
288000 Log-L: 258.287276
289000 Log-L: 258.253903
290000 Log-L: 258.075984
291000 Log-L: 258.318665
