Partition rank	NbSubset	Asap score	p-val	pval-rank	W	W rank	Treshold distance
1	6	1.00	2.579014e-03	1	0.000045	1	0.003086
2	12	3.50	7.644711e-01	2	0.000021	5	0.002001
3	8	3.50	7.984032e-01	3	0.000021	4	0.002009
4	3	3.50	8.183633e-01	4	0.000027	3	0.021357
5	2	4.00	9.141717e-01	6	0.000032	2	0.039741
6	14	5.50	8.183633e-01	5	0.000010	6	0.000997
7	65	7.00	1.000000e+00	7	0.000009	7	0.000000
