mptp 0.2.4_linux_x86_64, 4GB RAM, 2 cores
https://github.com/Pas-Kapli/mptp

Parsing tree file...
Loaded unrooted tree...
Converting to rooted tree...
Selected YK171 as outgroup based on longest tip-branch criterion

MCMC run 0...
Computing initial delimitation...
Null model log-likelihood: 90.361038
219000 Log-L: 94.341764
220000 Log-L: 94.341764
221000 Log-L: 95.946603
222000 Log-L: 95.946603
223000 Log-L: 96.969541
224000 Log-L: 94.341764
225000 Log-L: 96.969541
226000 Log-L: 96.969541
227000 Log-L: 95.946603
228000 Log-L: 94.341764
229000 Log-L: 96.969541
230000 Log-L: 95.946603
231000 Log-L: 96.969541
232000 Log-L: 94.341764
233000 Log-L: 94.341764
234000 Log-L: 94.341764
235000 Log-L: 95.946603
236000 Log-L: 94.341764
237000 Log-L: 94.341764
238000 Log-L: 94.341764
239000 Log-L: 96.969541
240000 Log-L: 96.969541
241000 Log-L: 94.341764
242000 Log-L: 94.341764
243000 Log-L: 95.946603
244000 Log-L: 94.341764
245000 Log-L: 96.969541
246000 Log-L: 94.341764
247000 Log-L: 96.969541
248000 Log-L: 96.658639
249000 Log-L: 96.969541
250000 Log-L: 94.341764
251000 Log-L: 96.969541
252000 Log-L: 94.341764
253000 Log-L: 96.969541
254000 Log-L: 96.969541
255000 Log-L: 95.946603
256000 Log-L: 94.341764
257000 Log-L: 96.969541
258000 Log-L: 94.341764
259000 Log-L: 94.341764
260000 Log-L: 94.341764
261000 Log-L: 94.341764
262000 Log-L: 96.969541
263000 Log-L: 94.341764
264000 Log-L: 94.341764
265000 Log-L: 94.341764
266000 Log-L: 94.341764
267000 Log-L: 94.341764
268000 Log-L: 94.341764
269000 Log-L: 90.361038
270000 Log-L: 95.946603
271000 Log-L: 94.341764
272000 Log-L: 94.341764
273000 Log-L: 95.946603
274000 Log-L: 94.341764
275000 Log-L: 94.341764
276000 Log-L: 96.969541
277000 Log-L: 95.946603
278000 Log-L: 96.969541
279000 Log-L: 94.341764
280000 Log-L: 94.341764
281000 Log-L: 94.341764
282000 Log-L: 94.341764
283000 Log-L: 94.341764
284000 Log-L: 94.341764
285000 Log-L: 94.341764
286000 Log-L: 95.946603
287000 Log-L: 94.341764
288000 Log-L: 96.969541
289000 Log-L: 94.341764
290000 Log-L: 96.969541
291000 Log-L: 96.969541
292000 Log-L: 96.969541
293000 Log-L: 95.946603
294000 Log-L: 94.341764
295000 Log-L: 96.969541
296000 Log-L: 96.969541
297000 Log-L: 94.341764
298000 Log-L: 94.341764
299000 Log-L: 96.969541
300000 Log-L: 95.946603
301000 Log-L: 94.341764
302000 Log-L: 94.341764
303000 Log-L: 94.341764
304000 Log-L: 94.341764
305000 Log-L: 95.946603
306000 Log-L: 96.969541
307000 Log-L: 96.658639
308000 Log-L: 90.361038
309000 Log-L: 94.341764
310000 Log-L: 95.946603
311000 Log-L: 94.341764
312000 Log-L: 96.969541
313000 Log-L: 95.946603
314000 Log-L: 94.341764
315000 Log-L: 96.658639
316000 Log-L: 95.946603
317000 Log-L: 94.341764
318000 Log-L: 94.341764
319000 Log-L: 95.946603
320000 Log-L: 95.946603
321000 Log-L: 90.361038
322000 Log-L: 96.969541
323000 Log-L: 94.341764
324000 Log-L: 94.341764
325000 Log-L: 94.341764
326000 Log-L: 96.658639
327000 Log-L: 96.969541
328000 Log-L: 94.341764
329000 Log-L: 94.341764
330000 Log-L: 94.341764
331000 Log-L: 96.969541
332000 Log-L: 94.341764
333000 Log-L: 95.946603
334000 Log-L: 95.946603
335000 Log-L: 94.341764
336000 Log-L: 90.361038
337000 Log-L: 95.946603
338000 Log-L: 96.969541
339000 Log-L: 94.341764
340000 Log-L: 96.969541
341000 Log-L: 95.946603
342000 Log-L: 94.341764
343000 Log-L: 90.361038
344000 Log-L: 96.969541
345000 Log-L: 94.341764
346000 Log-L: 96.969541
347000 Log-L: 94.341764
348000 Log-L: 95.946603
349000 Log-L: 94.341764
350000 Log-L: 94.341764
351000 Log-L: 96.969541
352000 Log-L: 96.969541
353000 Log-L: 94.341764
354000 Log-L: 96.969541
355000 Log-L: 94.341764
356000 Log-L: 96.969541
357000 Log-L: 95.946603
358000 Log-L: 96.969541
359000 Log-L: 96.969541
360000 Log-L: 94.341764
361000 Log-L: 90.361038
362000 Log-L: 96.969541
363000 Log-L: 96.969541
364000 Log-L: 96.969541
365000 Log-L: 94.341764
366000 Log-L: 94.341764
367000 Log-L: 94.341764
368000 Log-L: 96.969541
369000 Log-L: 94.341764
370000 Log-L: 94.341764
371000 Log-L: 96.969541
372000 Log-L: 94.341764
373000 Log-L: 95.946603
374000 Log-L: 94.341764
375000 Log-L: 96.969541
376000 Log-L: 95.634151
377000 Log-L: 94.341764
378000 Log-L: 94.341764
379000 Log-L: 94.341764
380000 Log-L: 96.969541
381000 Log-L: 96.969541
382000 Log-L: 95.946603
383000 Log-L: 96.969541
384000 Log-L: 96.969541
385000 Log-L: 96.969541
386000 Log-L: 94.341764
387000 Log-L: 95.946603
388000 Log-L: 95.946603
389000 Log-L: 95.946603
390000 Log-L: 94.341764
391000 Log-L: 94.341764
392000 Log-L: 95.946603
393000 Log-L: 96.658639
394000 Log-L: 95.946603
395000 Log-L: 94.341764
396000 Log-L: 95.946603
397000 Log-L: 95.946603
398000 Log-L: 96.969541
399000 Log-L: 96.969541
400000 Log-L: 95.946603
401000 Log-L: 94.341764
402000 Log-L: 90.361038
403000 Log-L: 95.946603
404000 Log-L: 96.969541
405000 Log-L: 96.969541
406000 Log-L: 95.946603
407000 Log-L: 94.341764
408000 Log-L: 95.946603
409000 Log-L: 94.341764
410000 Log-L: 90.361038
411000 Log-L: 96.969541
412000 Log-L: 96.969541
413000 Log-L: 94.341764
414000 Log-L: 96.969541
415000 Log-L: 94.341764
416000 Log-L: 96.969541
417000 Log-L: 96.969541
418000 Log-L: 96.969541
419000 Log-L: 94.341764
420000 Log-L: 96.969541
421000 Log-L: 94.341764
422000 Log-L: 94.341764
423000 Log-L: 95.946603
424000 Log-L: 95.946603
425000 Log-L: 95.946603
426000 Log-L: 96.969541
427000 Log-L: 96.969541
428000 Log-L: 94.341764
429000 Log-L: 95.946603
430000 Log-L: 96.969541
431000 Log-L: 94.341764
432000 Log-L: 94.341764
433000 Log-L: 96.969541
434000 Log-L: 96.658639
435000 Log-L: 94.341764
436000 Log-L: 95.946603
437000 Log-L: 94.341764
438000 Log-L: 96.969541
439000 Log-L: 96.969541
440000 Log-L: 94.341764
441000 Log-L: 94.341764
442000 Log-L: 94.341764
443000 Log-L: 90.361038
444000 Log-L: 96.969541
445000 Log-L: 96.969541
446000 Log-L: 96.969541
447000 Log-L: 96.969541
448000 Log-L: 96.969541
449000 Log-L: 96.969541
450000 Log-L: 95.946603
451000 Log-L: 95.946603
452000 Log-L: 94.341764
453000 Log-L: 95.946603
454000 Log-L: 96.969541
455000 Log-L: 94.341764
456000 Log-L: 90.361038
457000 Log-L: 94.341764
458000 Log-L: 95.946603
459000 Log-L: 96.969541
460000 Log-L: 96.969541
461000 Log-L: 94.341764
462000 Log-L: 94.341764
463000 Log-L: 95.946603
464000 Log-L: 95.946603
465000 Log-L: 95.946603
466000 Log-L: 94.341764
467000 Log-L: 94.341764
468000 Log-L: 95.946603
469000 Log-L: 95.946603
470000 Log-L: 94.341764
471000 Log-L: 94.341764
472000 Log-L: 95.946603
473000 Log-L: 95.946603
474000 Log-L: 90.361038
475000 Log-L: 95.946603
476000 Log-L: 94.341764
477000 Log-L: 96.969541
478000 Log-L: 95.946603
479000 Log-L: 94.341764
480000 Log-L: 94.341764
481000 Log-L: 95.946603
482000 Log-L: 96.969541
483000 Log-L: 95.946603
484000 Log-L: 94.341764
485000 Log-L: 94.341764
486000 Log-L: 95.946603
487000 Log-L: 94.341764
488000 Log-L: 90.361038
489000 Log-L: 96.969541
490000 Log-L: 94.341764
491000 Log-L: 95.946603
492000 Log-L: 94.341764
493000 Log-L: 96.969541
494000 Log-L: 94.341764
495000 Log-L: 94.341764
496000 Log-L: 94.341764
497000 Log-L: 96.969541
498000 Log-L: 94.341764
499000 Log-L: 95.946603
500000 Log-L: 94.341764
Minimum log-likelihood observed in mcmc run: 90.361038
Maximum log-likelihood observed in mcmcWARNING: delimit was not compiled with libgsl. Likelihood ratio test disabled.
 run: 96.969541
CCI (2,5)
HPD (2,5) 
Statistics written in output.txt.11111.stats ...
Creating tree with support values in output.txt.11111.tree ...
Creating SVG delimitation file output.txt.11111.svg ...
Number of edges greater than minimum branch length: 21 / 88
Score Null Model: 90.361038
Best score for multi coalescent rate: 96.969541
Writing delimitation file output.txt.txt ...
Number of delimited species: 3
ML average support based on run with seed 11111 : 0.83588130020493412
Average standard deviation of support values among runs: 0.000000
Creating tree with combined support values in output.txt.11111.combined.tree ...
Creating SVG delimitation file output.txt.11111.svg ...
Done...
