Partition rank	NbSubset	Asap score	p-val	pval-rank	W	W rank	Treshold distance
1	5	1.00	4.377307e-03	1	0.000057	1	0.003086
2	2	2.00	7.524950e-01	2	0.000039	2	0.022457
3	7	3.00	8.123752e-01	3	0.000027	3	0.002009
4	12	4.50	8.143713e-01	4	0.000014	5	0.001003
5	45	4.50	1.000000e+00	5	0.000014	4	0.000000
