SeqName;SpeciesNum
YK171;1
YK125;2
AKT236;2
BDA152;2
Y42;2
BDAD3242;2
BDA190__30_;2
UMA18;2
KIK1455;2
UAC5124;2
UAC5122;2
KIK1664;2
YK128;2
LIK926;2
KIK676;2
TLL57;2
BDAD3469__5_;2
BY2;2
YK193;2
YK115;2
EPL14;2
Kik1199;2
KIK1671;2
KIK1200;2
KIK1660;2
CRT370;2
UMA30;2
EPL8;2
NDU803;2
EBO87;2
BY5;3
YK195;3
YK156;3
Y110;3
YK64;3
BY12__5_;3
YK148__2_;3
YK121;3
YK196;3
YK192;3
YK120;3
YK152;3
Y81__4_;3
YK211;3
Y74;3
